seq_len,method,exp_mode,target_fraction,actual_fp16_pct,top_k,kernel_ms,kernel_speedup,e2e_ms,e2e_speedup,cos_fp16,nan,inf,batch_size,q_heads,kv_heads,head_dim,dtype,causal,exp_approx,input_scale,warmup,repeat,seed,gpu
32768,thrift_5%,exp,0.05,5.008832846003899,13,10.60700798034668,1.8223182099599595,12.109536170959473,1.602553172923527,0.9945600032806396,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
32768,thrift_5%,exp_approx,0.05,5.008832846003899,13,9.304768085479736,2.0773590075759296,10.772560119628906,1.8014450973490437,0.9843774437904358,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
32768,thrift_10%,exp,0.1,9.888980263157896,26,11.289247989654541,1.7121905563142703,12.783648014068604,1.51804677288099,0.995914876461029,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
32768,thrift_10%,exp_approx,0.1,9.888980263157896,26,10.016784191131592,1.929695541697873,11.505951881408691,1.6866206128290702,0.9881512522697449,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
32768,thrift_25%,exp,0.25,25.11421783625731,69,13.316256046295166,1.4515599376113044,14.849600315093994,1.3068483461927092,0.9977196455001831,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
32768,thrift_25%,exp_approx,0.25,25.11421783625731,69,12.210639953613281,1.5829918717779057,13.756191730499268,1.4107229670532508,0.9933756589889526,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
65536,fp16,-,1.0,100.0,1024,75.94802856445312,1.0,76.09236526489258,1.0,1.0,0,0,1,16,16,128,fp16,True,,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
65536,fp4,exp,0.0,0.0,0,33.19824028015137,2.2877124788406658,33.90798377990723,2.2440840410565035,0.9835478067398071,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
65536,fp4,exp_approx,0.0,0.0,0,29.330559730529785,2.589382175526635,30.05516815185547,2.531756431387491,0.9589283466339111,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
65536,thrift_5%,exp,0.05,5.011242378048781,26,41.10059356689453,1.8478572198924959,44.69016075134277,1.702664836859113,0.9949616193771362,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
65536,thrift_5%,exp_approx,0.05,5.011242378048781,26,35.793758392333984,2.12182324448832,39.346046447753906,1.9339265856337735,0.9854281544685364,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
65536,thrift_10%,exp,0.1,10.07888719512195,53,43.89108848571777,1.730374688455647,47.57025718688965,1.59957859731445,0.9962501525878906,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
65536,thrift_10%,exp_approx,0.1,10.07888719512195,53,38.790414810180664,1.9579070998879942,42.44723129272461,1.792634359120961,0.9890554547309875,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
65536,thrift_25%,exp,0.25,24.95655487804878,137,51.75080108642578,1.4675720369548881,55.622880935668945,1.368004748853224,0.9978743195533752,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
65536,thrift_25%,exp_approx,0.25,24.95655487804878,137,47.432945251464844,1.6011661970770763,51.284847259521484,1.4837202279229829,0.993803858757019,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
131072,fp16,-,1.0,100.0,2048,332.6937255859375,1.0,333.6707763671875,1.0,0.9999999403953552,0,0,1,16,16,128,fp16,True,,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
131072,fp4,exp,0.0,0.0,0,158.80860900878906,2.0949350772761,160.7588653564453,2.075597981034205,0.9836088418960571,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
131072,fp4,exp_approx,0.0,0.0,0,136.55015563964844,2.4364214308470347,138.3712158203125,2.4114175364368347,0.9590305685997009,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
131072,thrift_5%,exp,0.05,5.012448908003904,52,180.78450775146484,1.8402778519236351,191.88827514648438,1.7388804819495547,0.9953397512435913,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
131072,thrift_5%,exp_approx,0.05,5.012448908003904,52,162.6624526977539,2.045301297676372,173.90233612060547,1.9187250948473675,0.9864433407783508,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
131072,thrift_10%,exp,0.1,9.988675878477306,105,192.96556854248047,1.7241092703680787,204.67393493652344,1.6302553447788577,0.9965167045593262,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
131072,thrift_10%,exp_approx,0.1,9.988675878477306,105,175.70171356201172,1.893514404846811,187.57947540283203,1.7788234861549774,0.9897878170013428,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
131072,thrift_25%,exp,0.25,24.962205267813566,274,228.7845916748047,1.4541788988081403,243.3226547241211,1.3713099454117947,0.99803626537323,0,0,1,16,16,128,fp16,True,False,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
131072,thrift_25%,exp_approx,0.25,24.962205267813566,274,214.27718353271484,1.5526325299825652,228.87499237060547,1.4578734570830334,0.994259774684906,0,0,1,16,16,128,fp16,True,True,1.0,100,200,1234,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
